15,20
10,24
36,32
31,28
1,29
5,30
35,25
23,22
3,4
1,13
19,38
36,11
11,39
15,18
12,28
10,18
7,23
21,0
12,19
28,19
32,3
30,14
16,24
32,36
6,1
31,4
3,4
31,25
30,11
23,39
9,15
24,23
0,1
25,31
31,16
16,15
37,32
34,27
18,20
26,33
26,11
28,19
37,27
32,38
20,12
39,11
11,20
14,2
10,29
31,30
28,38
36,20
18,20
12,0
8,12
21,35
19,2
16,13
17,17
5,16
17,11
1,14
2,27
7,26
14,32
6,14
4,21
23,14
14,11
26,7
15,12
28,0
2,22
10,10
18,2
8,0
30,6
30,21
3,2
19,20
19,21
8,38
35,16
37,12
19,8
12,34
21,21
37,26
0,14
31,20
37,12
18,4
12,32
23,3
15,12
40,11
18,34
16,21
32,21
19,28
27,35
9,20
18,23
25,37
36,12
1,38
1,38
20,9
14,14
17,10
9,8
23,20
15,6
35,16
40,31
30,5
7,25
13,37
35,26
9,34
34,16
36,20
38,37
17,21
0,33
4,20
38,7
6,0
34,25
39,3
31,12
6,37
10,19
19,5
33,23
6,23
35,5
1,14
16,34
37,6
9,35
25,1
33,37
22,7
3,13
8,35
25,6
32,33
37,7
39,8
11,38
6,1
39,31
38,6
5,8
26,22
29,31
5,35
40,39
25,12
23,17
12,8
22,13
4,11
15,28
18,9
39,12
19,28
25,25
13,34
25,30
10,30
34,22
6,9
6,25
35,40
9,11
18,20
38,6
31,25
5,4
23,19
36,16
38,39
24,20
0,9
17,38
11,35
11,28
7,13
35,32
4,14
39,36
26,27
26,25
27,2
12,26
28,19
28,39
9,23
31,8
38,11
20,9
20,26
29,15
34,4
11,5
11,26
0,31
34,8
13,17
12,5
33,36
22,26
5,29
40,16
7,3
13,26
4,17
34,8
5,23
6,22
13,19
11,4
38,2
26,0
35,7
7,21
22,7
22,6
2,39
21,16
35,23
2,36
27,5
30,39
14,33
36,20
8,3
3,21
21,30
19,23
0,7
13,0
15,9
28,38
31,33
18,5
38,39
37,37
3,30
11,36
18,13
34,34
16,13
36,14
19,0
40,5
13,32
40,11
12,22
4,21
27,22
12,24
12,4
28,36
26,12
27,34
19,30
7,30
32,37
23,2
22,18
2,28
28,3
32,1
0,39
30,30
21,14
13,40
6,22
17,6
18,40
15,10
4,18
12,9
